"","V1","V2","V3","V4","V5","V6"
"1",-0.026093286772569,0.014316608508428,-0.00330439489334821,0.0176210006078084,0.00164717311660449,0.015973836183548
"2",0.0137196741998196,-0.0226253966490427,-0.0126869284237424,-0.00993845860163365,-0.00348840157190958,-0.006450076897939
"3",-0.00429822007815042,0.00274261832237248,0.00618128074953953,-0.00343864162762954,-0.00771766404310862,0.0042790174484253
"4",0.0161739500860373,-0.0106006761391957,-0.0124016723906,0.00180100401242582,-0.00576507796843845,0.00756606459617619
"5",0.0580033858617147,-0.0250232815742492,-0.0041257810468475,-0.0208975176016489,0.0085139994819959,-0.0294115046660105
"6",0.00615480293830236,0.01253146926562,-0.000831751463313897,0.0133632222811381,-0.00497789060076078,0.0183411240577699
"7",0.0215714126825333,-0.000211238861083949,0.00174522586166859,-0.00195646286010741,0.00837309285998345,-0.0103295544783274
"8",0.0206162507335345,-0.016750305891037,-0.00749145758648713,-0.00925882657368968,-0.00279929985602695,-0.0064595242341359
"9",0.0235098091264566,-0.0342239439487456,-0.00533834068725506,-0.0288856426874796,-0.00267066682378451,-0.0262149075667063
"10",0.0326930861920118,-0.0146239797274271,-0.0024500669290622,-0.0121739010016123,-0.00365181763966877,-0.00852210323015837
"11",0.0129800463716189,-0.0395795901616413,0.00559808717419704,-0.045177678267161,-0.00312024603287379,-0.0420574347178141
"12",0.0110680212577184,0.00306034088134769,-0.00412728792677323,0.00718765457471215,0.00536683077613514,0.00182082255681359
"13",0.0265617320934931,-0.0150037904580434,4.49394186337864e-05,-0.0150487224260966,-0.000785133490959798,-0.0142635603745778
"14",0.015044815838337,-0.00900677839914954,-0.00184845644980669,-0.00715831915537511,0.00165721898277601,-0.00881549715995787
"15",0.0157385319471359,-0.00826083620389296,0.00295774452388286,-0.0112185577551524,0.00725630049904188,-0.0184748768806457
"16",0.0156343976656596,0.00383925437927254,-0.000460314874847724,0.00429960091908782,0.0121391539772352,-0.00783953070640558
"17",0.0339998478690783,0.0102563003698985,0.00409304754187663,0.00616325934727993,0.00533405070503554,0.00082921485106153
